,category
0,"American, Fried Chicken, Southern, Sandwich, Fast Food"
1,Ice Cream &amp; Frozen Yogurt
2,"Asian, Asian Fusion, Noodles"
3,"American, Burgers, Sandwiches"
4,"Pharmacy, Convenience, Everyday Essentials, Baby"
5,"American, Burgers, Fast Food"
6,"American, burger, Fast Food, Family Meals"
7,"Fast Food, Sandwich, American"
8,"American, Burgers, Fast Food, Fast Food"
9,"Desserts, PIzza, Wings, Sandwiches"
10,"Burritos, Fast Food, Mexican"
11,"Burritos, Fast Food, Mexican"
12,"Fast Food, Sandwich, American"
13,"American, Fast Food, wings, Family Meals, Family Friendly"
14,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
15,"Healthy, Pasta, Salads"
16,"Breakfast and Brunch, salad, Sandwich, Healthy, American, Chicken"
17,"Burgers, American, Sandwiches"
18,"American, Fast Food, Burgers"
19,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
20,"American, Burgers, Fast Food"
21,"Burritos, Fast Food, Mexican"
22,"Sandwiches, American, Healthy"
23,"Burritos, Fast Food, Mexican"
24,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
25,"American, Fast Food, Burgers"
26,"Healthy, Pasta, Comfort Food, American, Italian, Noodles, Family Meals"
27,"American, Burgers, Fast Food"
28,"American, Burgers, Fast Food"
29,Pizza
30,"American, Burgers, Fast Food"
31,"Burritos, Fast Food, Mexican"
32,"Sushi, Asian, Japanese"
33,"Pizza, Sandwich, Comfort Food"
34,"Burritos, Fast Food, Mexican"
35,"American, burger, Fast Food, Family Meals"
36,"American, Burgers, Fast Food"
37,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
38,"American, Burgers, Fast Food"
39,"Burritos, Fast Food, Mexican"
40,"American, Burgers, Fast Food"
41,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
42,"American, Breakfast and Brunch, Salads, Steak, Sandwich, Family Meals, Healthy"
43,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
44,"American, Burgers, Fast Food"
45,"American, Burgers, Fast Food"
46,"American, Fast Food, wings, Family Meals, Family Friendly"
47,"Asian, Chinese, Asian Fusion"
48,"Mexican, Tacos, Burritos"
49,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
50,"Cafe, Sandwich, Bakery"
