,id,name,review_count,categories,rating,coordinates,price,location
0,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 41.88418081770163, 'longitude': -87.64794679938692}",$$$,"{'address1': '809 W Randolph', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['809 W Randolph', 'Chicago, IL 60607']}"
1,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 41.890694, 'longitude': -87.624782}",$$$,"{'address1': '444 N Michigan Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['444 N Michigan Ave', 'Chicago, IL 60611']}"
2,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 41.90348, 'longitude': -87.676221}",$$,"{'address1': '1932 W Division', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1932 W Division', 'Chicago, IL 60622']}"
3,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",4.5,"{'latitude': 41.91014, 'longitude': -87.68452}",,"{'address1': '2255 W North Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2255 W North Ave', 'Chicago, IL 60647']}"
4,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 41.910731, 'longitude': -87.674285}",$$$,"{'address1': '1840 W North Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1840 W North Ave', 'Chicago, IL 60622']}"
5,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}]",5.0,"{'latitude': 41.924426, 'longitude': -87.710898}",$$,"{'address1': '3309 W Fullerton Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3309 W Fullerton Ave', 'Chicago, IL 60647']}"
6,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,"{'latitude': 41.8842528, 'longitude': -87.6293151}",$$,"{'address1': '145 N Dearborn St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60602', 'country': 'US', 'state': 'IL', 'display_address': ['145 N Dearborn St', 'Chicago, IL 60602']}"
7,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.5,"{'latitude': 41.9218, 'longitude': -87.69769}",,"{'address1': '2202 N California Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2202 N California Ave', 'Chicago, IL 60647']}"
8,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 41.92555, 'longitude': -87.70112}",$$,"{'address1': '2427 N Milwaukee Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2427 N Milwaukee Ave', 'Chicago, IL 60647']}"
9,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",5.0,"{'latitude': 41.90288666670101, 'longitude': -87.67917606979607}",,"{'address1': '2049 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2049 W Division St', 'Chicago, IL 60622']}"
10,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 41.90976697949441, 'longitude': -87.67605189999999}",,"{'address1': '1547 N Milwaukee Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1547 N Milwaukee Ave', 'Chicago, IL 60622']}"
11,wfkj7DK8YzhdwhhFc2OntA,Giant,640,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 41.9171, 'longitude': -87.70746}",$$$,"{'address1': '3209 W Armitage Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3209 W Armitage Ave', 'Chicago, IL 60647']}"
12,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 41.924443845390954, 'longitude': -87.69964666704485}",$$$,"{'address1': '2375 N Milwaukee Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2375 N Milwaukee Ave', 'Chicago, IL 60647']}"
13,0IYXh7l_VppKw5y97FehoA,Kasama,640,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 41.899692, 'longitude': -87.6756}",$$,"{'address1': '1001 N Winchester Ave', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1001 N Winchester Ave', 'Chicago, IL 60622']}"
14,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 41.93194357461772, 'longitude': -87.7023888774715}",,"{'address1': '2957 W Diversey', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2957 W Diversey', 'Chicago, IL 60647']}"
